target,ligand,seed,affinity_kcal_mol,log_file
t790m,gefitinib,13,-9.098,data\processed\docking_results\t790m\gefitinib\logs\t790m_gefitinib_seed13.log
t790m,gefitinib,14,-9.088,data\processed\docking_results\t790m\gefitinib\logs\t790m_gefitinib_seed14.log
t790m,gefitinib,15,-9.114,data\processed\docking_results\t790m\gefitinib\logs\t790m_gefitinib_seed15.log
t790m,gefitinib,2,-9.095,data\processed\docking_results\t790m\gefitinib\logs\t790m_gefitinib_seed2.log
t790m,gefitinib,3,-9.095,data\processed\docking_results\t790m\gefitinib\logs\t790m_gefitinib_seed3.log
t790m,gefitinib,4,-9.053,data\processed\docking_results\t790m\gefitinib\logs\t790m_gefitinib_seed4.log
t790m,gefitinib,5,-9.1,data\processed\docking_results\t790m\gefitinib\logs\t790m_gefitinib_seed5.log
t790m,gefitinib,6,-9.112,data\processed\docking_results\t790m\gefitinib\logs\t790m_gefitinib_seed6.log
t790m,gefitinib,7,-9.068,data\processed\docking_results\t790m\gefitinib\logs\t790m_gefitinib_seed7.log
t790m,gefitinib,8,-9.093,data\processed\docking_results\t790m\gefitinib\logs\t790m_gefitinib_seed8.log
t790m,gefitinib,9,-9.075,data\processed\docking_results\t790m\gefitinib\logs\t790m_gefitinib_seed9.log
t790m,osimertinib,1,-8.169,data\processed\docking_results\t790m\osimertinib\logs\t790m_osimertinib_seed1.log
t790m,osimertinib,10,-8.174,data\processed\docking_results\t790m\osimertinib\logs\t790m_osimertinib_seed10.log
t790m,osimertinib,11,-8.188,data\processed\docking_results\t790m\osimertinib\logs\t790m_osimertinib_seed11.log
t790m,osimertinib,12,-8.355,data\processed\docking_results\t790m\osimertinib\logs\t790m_osimertinib_seed12.log
t790m,osimertinib,13,-8.188,data\processed\docking_results\t790m\osimertinib\logs\t790m_osimertinib_seed13.log
t790m,osimertinib,14,-8.151,data\processed\docking_results\t790m\osimertinib\logs\t790m_osimertinib_seed14.log
t790m,osimertinib,15,-8.313,data\processed\docking_results\t790m\osimertinib\logs\t790m_osimertinib_seed15.log
t790m,osimertinib,2,-8.137,data\processed\docking_results\t790m\osimertinib\logs\t790m_osimertinib_seed2.log
t790m,osimertinib,3,-8.294,data\processed\docking_results\t790m\osimertinib\logs\t790m_osimertinib_seed3.log
t790m,osimertinib,4,-8.185,data\processed\docking_results\t790m\osimertinib\logs\t790m_osimertinib_seed4.log
t790m,osimertinib,5,-8.204,data\processed\docking_results\t790m\osimertinib\logs\t790m_osimertinib_seed5.log
t790m,osimertinib,6,-8.355,data\processed\docking_results\t790m\osimertinib\logs\t790m_osimertinib_seed6.log
t790m,osimertinib,7,-8.354,data\processed\docking_results\t790m\osimertinib\logs\t790m_osimertinib_seed7.log
t790m,osimertinib,8,-8.153,data\processed\docking_results\t790m\osimertinib\logs\t790m_osimertinib_seed8.log
t790m,osimertinib,9,-8.308,data\processed\docking_results\t790m\osimertinib\logs\t790m_osimertinib_seed9.log
wildtype,afatinib,1,-8.457,data\processed\docking_results\wildtype\afatinib\logs\wildtype_afatinib_seed1.log
wildtype,afatinib,10,-8.512,data\processed\docking_results\wildtype\afatinib\logs\wildtype_afatinib_seed10.log
wildtype,afatinib,11,-8.911,data\processed\docking_results\wildtype\afatinib\logs\wildtype_afatinib_seed11.log
